stop_id,stop_name,stop_lat,stop_lon
2,HASTER-ORANGEWOOD,33.795838,-117.906313
3,HASTER-WAKEFIELD,33.798734,-117.906365
4,HASTER-KATELLA,33.802132,-117.906466
5,ANAHEIM-KATELLA,33.804309,-117.906415
6,ANAHEIM-CERRITOS,33.810933,-117.906029
7,ANAHEIM-PALAIS,33.813928,-117.906486
8,ANAHEIM-BALL,33.818567,-117.908151
9,ANAHEIM-LORRAINE,33.820686,-117.908901
10,ANAHEIM-VERMONT,33.823443,-117.909805
11,ANAHEIM-SOUTH,33.826603,-117.91086
12,ANAHEIM-WATER,33.82879,-117.911573
13,ANAHEIM-SANTA ANA,33.831515,-117.912472
14,ANAHEIM-BROADWAY,33.833086,-117.912915
15,ANAHEIM-CENTER ST PROMENADE,33.834995,-117.913493
16,ANAHEIM-LINCOLN,33.837124,-117.914244
17,ANAHEIM-SYCAMORE,33.839696,-117.915187
18,ANAHEIM-WILHELMINA,33.841921,-117.915935
19,ANAHEIM-NORTH,33.844135,-117.916656
20,ANAHEIM-LA VERNE,33.846299,-117.91754
21,ANAHEIM-NORTH,33.844408,-117.916984
22,ANAHEIM-WILHELMINA,33.841712,-117.916099
23,ANAHEIM-SYCAMORE,33.839512,-117.915414
24,ANAHEIM-LINCOLN,33.835859,-117.914185
25,ANAHEIM-BROADWAY,33.833841,-117.913468
26,ANAHEIM-SANTA ANA,33.830758,-117.912458
27,ANAHEIM-WATER,33.828606,-117.911774
28,ANAHEIM-SOUTH,33.826419,-117.911054
30,ANAHEIM-VERMONT,33.822747,-117.909838
31,ANAHEIM-LORRAINE,33.820759,-117.909123
32,ANAHEIM-BALL,33.817707,-117.90814
33,ANAHEIM-WINSTON,33.814619,-117.906874
35,ANAHEIM-CERRITOS,33.810755,-117.906208
36,HASTER / KATELLA,33.802875,-117.906854
37,HASTER-WAKEFIELD,33.799715,-117.906637
38,HASTER-ORANGEWOOD,33.796429,-117.906548
39,HASTER-CLIFFWOOD,33.794273,-117.906461
40,HASTER-TILLER,33.791637,-117.90646
41,BALL-FREMONT,33.817073,-118.015405
42,BALL-KNOTT,33.817115,-118.010059
43,BALL-MASTERS,33.817166,-118.007455
44,BALL-WESTERN,33.817211,-118.00169
45,BALL-COURTRIGHT,33.817244,-117.999126
46,BALL-HALLIDAY,33.81727,-117.996387
47,BALL-BEACH,33.817278,-117.992798
49,BALL-DALE,33.817368,-117.984114
50,BALL-MACDUFF,33.817395,-117.981207
51,BALL-MAGNOLIA,33.817451,-117.975528
52,BALL-WEBSTER,33.817509,-117.970587
53,BALL-GILBERT,33.817531,-117.968138
54,BALL-BROOKHURST,33.817641,-117.959319
55,BALL-EMPIRE,33.817683,-117.954091
56,BALL-NUTWOOD,33.817723,-117.949715
57,BALL-TRIDENT,33.817744,-117.946156
58,BALL-EUCLID,33.817794,-117.940826
59,BALL-LOARA,33.817834,-117.936876
60,BALL-HAMPSTEAD,33.817823,-117.931683
61,BALL-WALNUT,33.817876,-117.92821
62,BALL-WEST,33.817892,-117.923689
63,BALL-CAST,33.817953,-117.921017
64,BALL-HARBOR,33.817903,-117.914645
65,BALL-CLAREMONT,33.817886,-117.911086
66,BALL-ANAHEIM,33.817946,-117.907557
67,BALL-ALLEC,33.817987,-117.90253
68,BALL-LEWIS,33.817949,-117.89841
69,BALL-EAST,33.817949,-117.8957
70,BALL-SHERMAN,33.817982,-117.892154
71,BALL-STATE COLLEGE,33.817972,-117.888487
72,BALL-BELHAVEN,33.818002,-117.885222
73,BALL-SUNKIST,33.817946,-117.88085
74,BALL-SUNKIST,33.818193,-117.881082
75,BALL-BELHAVEN,33.818195,-117.885929
76,BALL-STATE COLLEGE,33.818217,-117.88985
77,BALL-EAST,33.818191,-117.893561
78,BALL-EAST,33.818188,-117.895925
79,BALL-LEWIS,33.81819,-117.898467
80,BALL-ALLEC,33.818166,-117.902642
81,BALL-ANAHEIM,33.818237,-117.90776
82,BALL-LEMON,33.81826,-117.910077
83,BALL-HARBOR,33.818243,-117.914244
84,BALL-OX,33.818239,-117.920807
85,BALL-FLORE,33.818248,-117.923957
86,BALL-WALNUT,33.818179,-117.929587
87,BALL-HAMPSTEAD,33.818165,-117.932522
88,BALL-LOARA,33.81807,-117.937422
89,BALL-EUCLID,33.81807,-117.942017
90,BALL-TRIDENT,33.817989,-117.946092
91,BALL-NUTWOOD,33.817968,-117.949858
